,model,RMSE,MAE,MAPE,DA
0,Linear Regression,26.353975380087114,23.10131673685269,0.18285216969184126,0.532
1,SVM,48.287141565381084,41.43442716990439,0.3159868427942775,0.554
2,MLP,37.36857198117896,32.279328504181926,0.24881485057227734,0.554
3,LSTM,64.764009652267,55.413267303466796,0.41961676200173936,0.464
