,model,RMSE,MAE,MAPE,DA
0,Linear Regression,19.918009192865544,17.202423812174448,1.6149432248012372,0.526
1,SVM,27.008714009506697,22.398227374315123,1.5327076978378007,0.452
2,MLP,83.98207790666186,75.69711250945515,2.9071651048571723,0.518
3,LSTM,41.63878315498611,34.19756707839966,1.4869548908247876,0.448
