,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.10754856055451957,0.08370364390768809,0.20100366384181967,0.4302013422818792,
1,Linear Regression,0.07869582205589654,0.05928095515317116,0.15001187179050238,0.538255033557047,
2,SVM,0.07846000859538964,0.05908678861211021,0.1492991000695617,0.487248322147651,"{'C': 0.001, 'kernel': 'sigmoid'}"
3,MLP,0.07863705364075334,0.05932009740149708,0.15375272593761588,0.5308724832214765,"{'activation': 'logistic', 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01}"
4,LSTM,0.07962344102569256,0.06022943505011869,0.14890698680153447,0.4959731543624161,
