,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.3363972248358409,0.28369786746399145,2.2269351599268408,0.5647058823529412,
1,Linear Regression,0.08909471430350954,0.0710791727514673,0.7674516028164002,0.7058823529411765,
2,SVM,0.10790536293310937,0.09100158380990388,1.1619638720502152,0.6941176470588235,"{'C': 1, 'kernel': 'rbf'}"
3,MLP,0.0882235525369704,0.07178943463779008,0.6542387572132451,0.7411764705882353,
4,LSTM,0.283626917095847,0.2450237637132128,3.0281794841701046,0.5411764705882353,
