,model,mse,mae,mape,accuracy
0,LinearReg,29.52076383270065,23.279281984118928,0.692135848253877,0.52
1,svr,37.855646565978994,34.285141618137466,0.6745034433577108,0.5188732394366197
2,MLP,47.15269121684113,44.530122828943036,0.8460803724008185,0.5290140845070422
3,LSTM,29.660744372344467,20.416491985660375,0.5060502610716108,0.49859154929577465
