,model,RMSE,MAE,MAPE,DA
0,Linear Regression,0.004881568348134891,0.003695670623290455,0.003186504599244718,0.508
1,SVM,0.009720464551679332,0.008038491413470005,0.006866244993321499,0.502
2,MLP,0.005560045050817247,0.004323162065574964,0.0037365394369195896,0.53
3,LSTM,0.006248486776708551,0.00502865052223206,0.0043109733738504,0.514
