,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.013720366553788011,0.010400744204670917,0.03726758059289425,0.5040268456375839,
1,Linear Regression,0.013790437023592957,0.010440274386386858,0.037292989555162394,0.5053691275167785,
2,SVM,0.027460325182421776,0.022708748848001923,0.07484647650672949,0.5033557046979866,"{'C': 10, 'kernel': 'linear'}"
3,MLP,0.0157071346037653,0.012212938538671904,0.044997793752743986,0.512751677852349,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
4,LSTM,0.017651977318781393,0.014205942236227464,0.04697138953747104,0.5073825503355704,
