,model,RMSE,MAE,MAPE,DA
0,Linear Regression,73.1807594236582,54.3440993770402,0.12606272045240244,0.8636363636363636
1,SVM,67.47993947369376,50.895843288495094,0.11064596665188545,0.8409090909090909
2,MLP,60.62519964137847,53.83330904476272,0.13378219573287398,0.9090909090909091
3,LSTM,66.03723250999275,53.155177029696375,0.1341201322693453,0.7954545454545454
