,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.039393411490662805,0.027228028749550156,0.019919522040847633,0.48322147651006714,
1,Linear Regression,0.040274659203601106,0.028333101913755515,0.020722615049694467,0.4812080536912752,
2,SVM,0.053609268966766405,0.041019590566439536,0.02954725530226074,0.4899328859060403,"{'C': 10, 'kernel': 'linear'}"
3,MLP,0.12676011990125474,0.1095798634384351,0.07383312727304304,0.4778523489932886,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01}"
4,LSTM,0.07711289616473041,0.05478233608929529,0.0385002023691604,0.49395973154362416,
