,model,RMSE,MAE,MAPE,DA
0,Linear Regression,654.7813032547054,533.0834556154416,0.13527660809452702,0.572
1,SVM,653.0403488338014,531.6894614969989,0.13494706076629326,0.572
2,MLP,653.509987822501,532.0677642116582,0.13503460348074936,0.572
3,LSTM,646.8634886303129,526.7620673731566,0.1338621828779314,0.572
