,model,RMSE,MAE,MAPE,DA,parameters
0,Linear Regression,0.03237631760528341,0.022169527632098212,0.022634095641245872,0.45503355704697984,
1,Linear Regression,0.09013681241308787,0.08179065592093039,0.06863294428012753,0.46442953020134226,"{'C': 1, 'kernel': 'linear'}"
2,Linear Regression,0.06324826782602642,,,0.47248322147651006,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
3,Linear Regression,0.1273583859719881,0.08772456627362994,0.06054351471206969,0.45100671140939597,
