,model,mse,mae,mape,accuracy
0,LinearReg,0.0010687411780443653,0.018388136736157086,0.02800677899817583,0.49746478873239436
1,svr,0.025025437813072038,0.11965441583298667,0.2936153661193679,0.5047887323943662
2,MLP,0.0012200014280896987,0.02192187762382713,0.0373163728311724,0.5036619718309859
3,LSTM,0.009625424708864282,0.04638644622786909,0.04121468470462054,0.49633802816901407
