,model,RMSE,MAE,MAPE,DA
0,Linear Regression,53.00951417448723,35.66150346497654,0.010580792871703942,0.458
1,SVM,155.29677818282676,142.41643629543603,0.03833215401585309,0.518
2,MLP,70.63971264318619,58.84763514598884,0.016141601151303895,0.502
3,LSTM,75.65628108697715,60.06558544921875,0.016484190744801022,0.472
