,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.022122866985943273,0.013792154980262037,0.11979398189708516,0.46442953020134226,
1,Linear Regression,0.0225511353222977,0.013975771528845925,0.12183353694474011,0.4684563758389262,
2,SVM,0.04660122602299228,0.03321729188831987,0.2963224492250384,0.4738255033557047,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.028606439703335117,0.019289947115266555,0.18334277620701447,0.46375838926174495,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.030422253095897495,0.01703982958676538,0.15490652356006193,0.4704697986577181,
