,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.040953285339831134,0.030232385648972786,0.01951017363100148,0.4080536912751678,
1,Linear Regression,0.04982328394016919,0.03695713295722146,0.024176549216609052,0.41073825503355704,
2,SVM,0.15890274227114967,0.13837557875374507,0.0778935020647255,0.42885906040268457,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.09168495045083945,0.07279983682058995,0.03987483903723438,0.4181208053691275,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,1.3971840947789562,0.8709507210297616,0.40806915962750573,0.425503355704698,
