,model,RMSE,MAE,MAPE,DA
0,Linear Regression,0.007934064766790311,0.006119956201627037,0.005274513690285399,0.498
1,SVM,0.011580816419040683,0.009252745806439209,0.007951168410918703,0.5
2,MLP,0.006263224757813041,0.004808916599167913,0.004151612374471153,0.52
3,LSTM,0.007044419730910287,0.005336604833602904,0.004613682602887614,0.512
