,model,mse,mae,mape,accuracy
0,LinearReg,0.0011828294689609864,0.021167635540672095,0.048072777090574836,0.4754929577464789
1,svr,0.02473039300306899,0.13401035171589754,0.2869058598876911,0.49014084507042255
2,MLP,0.0017986292656230528,0.027051551183204427,0.05476374805454359,0.49408450704225354
3,LSTM,0.024808357688572685,0.08370549210005028,0.0979286138854589,0.5059154929577465
