,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.006898786924091222,0.004860372818838462,0.07853273519728213,0.6134228187919463,
1,Linear Regression,0.004947365438476344,0.000979817688947227,0.004816385160951963,0.6302013422818792,
2,SVM,0.05765907133712534,0.04392070132629366,0.7146416317310359,0.5348993288590604,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.044787866553724305,0.04289321888054468,0.44357511477810496,0.5885906040268456,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
4,LSTM,0.03573038346769208,0.020206639102085422,0.2473371061681669,0.5906040268456376,
