,model,RMSE,MAE,MAPE,DA
0,Linear Regression,43.98175639711992,31.887886849456233,0.009176086388081062,0.618
1,SVM,163.91222832530443,147.69931282247538,0.0392679405518178,0.54
2,MLP,57.57141598226968,46.087470271642495,0.013059511451116,0.606
3,LSTM,127.70411880501099,87.96171728515625,0.02209465671797263,0.598
