,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.013612704135862581,0.009831124086560889,0.009264902779414191,0.5946308724832214,
1,Linear Regression,0.008528022347175163,0.002502518969194621,0.001973533283552494,0.6228187919463087,
2,SVM,0.10266269501158021,0.09257271437953196,0.07471301579377577,0.5013422818791946,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.026030011993271887,0.022976731627881008,0.01995950322499592,0.5946308724832214,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.07528282265848525,0.04886498544693702,0.03274006714446612,0.5892617449664429,
