,model,RMSE,MAE,MAPE,DA
0,Linear Regression,0.006870178395733135,0.005207205938147198,0.004509633499575514,0.576
1,SVM,0.010392477731669627,0.008179206555559353,0.007050916239555836,0.55
2,MLP,0.006833995237213336,0.005203610802897642,0.00449701950372999,0.554
3,LSTM,0.006840515618478211,0.005173184633255003,0.004478248803756984,0.578
