,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.004703727524806785,0.003445391443372159,0.014035728997820393,0.6375838926174496,
1,Linear Regression,0.002682475521238876,0.0007592958088311199,0.003060753376908541,0.648993288590604,
2,SVM,0.027002844467559454,0.021043207244697656,0.09191639863785067,0.5731543624161074,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.014348859319642169,0.013081528958112666,0.04866198184993344,0.6268456375838927,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.01}"
4,LSTM,0.004633229765423505,0.0039557486292874635,0.01291769475325981,0.6469798657718121,
