,model,RMSE,MAE,MAPE,DA
0,Linear Regression,0.004908329065114338,0.003739105846764821,0.0032241103890677013,0.506
1,SVM,0.013968343448039317,0.01164437877848912,0.009932966621528202,0.506
2,MLP,0.006601420712492925,0.00513937888176404,0.004437890794446755,0.518
3,LSTM,0.0060406618136853085,0.004839856624603272,0.004164999826155479,0.49
