,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.0428440412877457,0.03163162518520152,0.020086196268738258,0.4375838926174497,
1,Linear Regression,0.042996742250104344,0.03172739252715718,0.020062173355136215,0.44161073825503355,
2,SVM,0.18306191382805703,0.16088119349208133,0.08810255157717112,0.4557046979865772,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.11442495337139215,0.09170157522924799,0.04811401222263847,0.4463087248322148,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
4,LSTM,0.11144301937924159,0.08365445102899559,0.045203138179896754,0.4395973154362416,
