,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.014340636689444014,0.010883297184423272,0.043108455728780415,0.525503355704698,
1,Linear Regression,0.01894317575105122,0.014740923771049484,0.056925417689288396,0.5221476510067115,
2,SVM,0.03809245999644704,0.02879499448031985,0.14877798495632072,0.525503355704698,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.021025879345064197,0.01563368227121372,0.06562103705383812,0.521476510067114,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.001}"
4,LSTM,0.017999912231079145,0.013627024666639013,0.05557082476029569,0.5295302013422819,
