,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.15990044422866084,0.13503971756398944,0.13353598625149446,0.5333333333333333,
1,Linear Regression,0.11426782218459043,0.10011677039765293,0.09909704791453938,0.6111111111111112,
2,SVM,0.1177737038319104,0.10408888927144765,0.1063127502293994,0.6111111111111112,
3,MLP,0.09498179956973447,0.08198388970820668,0.08074627097504568,0.6444444444444445,
4,LSTM,0.2616210243169089,0.20341372211984626,0.20139793008923537,0.5222222222222223,
