,model,mse,mae,mape,accuracy
0,LinearReg,0.15811828462646066,0.1163627374498389,0.10903826446876942,0.49126760563380284
1,svr,0.0246703585098533,0.11926269878042314,0.2944211203272805,0.504225352112676
2,MLP,0.0015005165887179287,0.02370257208433918,0.03844382511718404,0.4895774647887324
3,LSTM,0.06857313463093283,0.07436506252947538,0.05691563150491178,0.504225352112676
