,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.04423652412419903,0.032677440678994446,0.02018970999104449,0.3865771812080537,
1,Linear Regression,0.06307696587521769,0.04745794680100496,0.029837328513016775,0.3906040268456376,
2,SVM,0.23210008086020154,0.20789295907747357,0.11001107722733261,0.4040268456375839,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.11304258251849547,0.09058004103662046,0.046375153206996075,0.39798657718120806,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.9217805469889224,0.6369818146238312,0.2921240348628776,0.3919463087248322,
