,model,mse,mae,mape,accuracy
0,LinearReg,0.0004977235846135357,0.017030949779227558,0.11608499195482608,0.48619718309859156
1,svr,0.010539774335505939,0.08473512853083837,0.7078381058378767,0.48169014084507045
2,MLP,0.0006122314240819085,0.018580415253140536,0.12144738419569538,0.48169014084507045
3,LSTM,0.020478182727247177,0.11575709749117138,0.8858758386831582,0.49408450704225354
