,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.034175694648928036,0.02315523946375862,0.02353568001015706,0.363758389261745,
1,Linear Regression,0.050865586251813165,0.03302987575445449,0.034524324625485825,0.363758389261745,
2,SVM,0.15990081930981762,0.1459351890353621,0.1095535991209941,0.3818791946308725,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.07917926924178112,0.06507554758654212,0.052551348618688154,0.37919463087248323,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
4,LSTM,0.35163686536802646,0.21736811748039087,0.1327115038933276,0.361744966442953,
