,model,RMSE,MAE,MAPE,DA
0,Linear Regression,2.4104037848589415,1.4638011193351148,0.37752980875609404,0.506
1,SVM,4.103603279706739,2.9843556861412512,0.6358804521149458,0.53
2,MLP,2.5609614770325453,1.6682207785208598,0.5085430370241426,0.51
3,LSTM,2.608641190001018,1.573912325668335,0.5225038888615399,0.472
