,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.023042280904122157,0.014381336405407764,0.12093370118537848,0.4449664429530201,
1,Linear Regression,0.031169148658485465,0.018928544247072552,0.13093429113060936,0.4476510067114094,
2,SVM,0.0530640639813437,0.038590972440153484,0.31061467139970556,0.45302013422818793,
3,MLP,0.0331160237499184,0.021571913290010843,0.14739455936649962,0.44563758389261743,
4,LSTM,0.03373257595389871,0.02035240396357751,0.14491736190842391,0.4348993288590604,
