,model,mse,mae,mape,accuracy
0,LinearReg,0.0016691065649889248,0.02423306777518017,0.038543365881825956,0.4867605633802817
1,svr,0.031345616449273285,0.14079289605199027,0.3345615695529334,0.5030985915492958
2,MLP,0.0028097445400215955,0.03215981794082598,0.04859981509925371,0.5104225352112676
3,LSTM,0.08566327079144323,0.14779869751074767,0.10436255577002128,0.5149295774647887
