,model,mse,mae,mape,accuracy
0,LinearReg,0.4918500544511513,0.47273239130579797,0.41222138009260767,0.5143661971830986
1,svr,0.5206637925347392,0.4921673075405665,0.42852822288377,0.5008450704225352
2,MLP,0.30342884128574704,0.23646275161742825,0.20918843197967657,0.49352112676056337
3,LSTM,0.5046085897064827,0.48827168168227625,0.4283558386549492,0.49633802816901407
