,model,RMSE,MAE,MAPE,DA
0,Linear Regression,73.1807594236582,54.3440993770402,0.12606272045240244,0.8636363636363636
1,SVM,54.83309459051045,46.536835151232914,0.11512503052827486,0.8863636363636364
2,MLP,64.14387501981118,55.56308072061809,0.1343861158282322,0.9090909090909091
3,LSTM,191.23474748771542,161.88628179376775,0.3793678446956252,0.8181818181818182
