,model,RMSE,MAE,MAPE,DA
0,Linear Regression,0.14125306826758294,0.12590508000445425,0.10638689890721935,0.506
1,SVM,0.15849213431660422,0.14104412040856434,0.11930939865814509,0.498
2,MLP,0.1281192339040755,0.0988840992138833,0.08493497452813474,0.504
3,LSTM,0.05024512122199176,0.04293833756446838,0.036264509716511614,0.504
