,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.11349218474500548,0.08874460540488238,0.2206705883779785,0.4302013422818792,
1,Linear Regression,0.08261581494361726,0.06267740663998682,0.16940077806775913,0.5389261744966443,
2,SVM,0.0824216236258565,0.06255389355727796,0.16854436306038617,0.4771812080536913,"{'C': 100, 'kernel': 'sigmoid'}"
3,MLP,0.08274140600639093,0.06291893266267674,0.17476139370448932,0.5302013422818792,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.08217173722841821,0.062305686435933656,0.17047756715401136,0.5281879194630873,
