,model,RMSE,MAE,MAPE,DA
0,Linear Regression,19.743414053900818,17.00575419602634,0.40371516752140985,0.534
1,SVM,31.93470805159731,25.405204869923757,0.47998706653902024,0.48
2,MLP,21.40901117888683,18.492639617081615,0.4394875934208448,0.442
3,LSTM,37.333865107118754,29.496976140975953,0.5419179016606097,0.45
