,model,mse,mae,mape,accuracy
0,LinearReg,0.009335760021733827,0.07100243490032819,1248423794140.6194,0.5369014084507042
1,svr,0.00885592595086685,0.06957551756279576,1229128318136.2195,0.4619718309859155
2,MLP,0.009085605389657967,0.0705246822314231,1278142550265.0566,0.4811267605633803
3,LSTM,0.009835842751466605,0.07565436555274087,1147565052718.7654,0.4602816901408451
