,model,RMSE,MAE,MAPE,DA
0,Linear Regression,36.726591541496155,31.601291480207053,0.2429664267989686,0.51
1,SVM,39.68026498153883,34.20211850176724,0.2630803182042489,0.544
2,MLP,42.167223075436944,36.282305558416496,0.2781869252019185,0.538
3,LSTM,76.21066139137719,64.98076836395263,0.49062811872124873,0.464
