,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.014830655917718295,0.011255070862421038,0.04869578045449302,0.5140939597315436,
1,Linear Regression,0.01495149419503028,0.011389867839108647,0.04937281026037493,0.5154362416107383,
2,SVM,0.04254963414370912,0.03547049503032005,0.13130432397650585,0.5154362416107383,"{'C': 0.1, 'kernel': 'linear'}"
3,MLP,0.020108901044003504,0.015655306010940027,0.06895672706035566,0.5194630872483221,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
4,LSTM,0.01840074577818806,0.014742915844934399,0.060476388740051165,0.5100671140939598,
