,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.013719049144590986,0.01040035410495397,0.03726708650835295,0.5046979865771812,
1,Linear Regression,0.013790894861360066,0.010440286058761707,0.03728533553841716,0.5060402684563758,
2,SVM,0.027213730839194553,0.022481561038181497,0.07433318997001252,0.5040268456375839,"{'C': 10, 'kernel': 'linear'}"
3,MLP,0.016666777586051833,0.013109732784008172,0.047945940456616515,0.5114093959731544,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.014493820632396886,0.011206454637726687,0.040076476727080264,0.5046979865771812,
