,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.03295413316950685,0.022325929713509704,0.022903037830040007,0.4483221476510067,
1,Linear Regression,0.03237631760528341,0.022169527632098212,0.022634095641245872,0.45503355704697984,
2,SVM,0.09013681241308787,0.08179065592093039,0.06863294428012753,0.46442953020134226,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.05517641370773144,0.04651778442527095,0.03782692582217228,0.46442953020134226,"{'activation': 'tanh', 'hidden_layer_sizes': (500,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
4,LSTM,0.057881160748207774,0.04535943094906974,0.03745510634653764,0.4577181208053691,
