,model,mse,mae,mape,accuracy
0,LinearReg,0.0003408701415752564,0.013749254414259424,0.174683524439842,0.49577464788732395
1,svr,0.008701154966258177,0.073873166500732,0.7869274724157846,0.4676056338028169
2,MLP,0.001620985553059892,0.030103689371556903,0.284370365198438,0.4895774647887324
3,LSTM,0.001844889209596293,0.03308297615397394,0.3822198751702803,0.5002816901408451
