,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.0428440412877457,0.03163162518520152,0.020086196268738258,0.4375838926174497,
1,Linear Regression,0.042996742250104344,0.03172739252715718,0.020062173355136215,0.44161073825503355,
2,SVM,0.21176170919858814,0.1891853753006037,0.10341970957423645,0.4557046979865772,
3,MLP,0.0802901159675579,0.06119434706615995,0.03525167127124777,0.4483221476510067,
4,LSTM,0.12119800062449224,0.08404212481923036,0.0442371716486182,0.4389261744966443,
