,model,RMSE,MAE,MAPE,DA
0,Linear Regression,0.004908329065114338,0.003739105846764821,0.0032241103890677013,0.506
1,SVM,0.013968343448039317,0.01164437877848912,0.009932966621528202,0.506
2,MLP,0.01190617181199725,0.010089276912751284,0.008775527473542443,0.512
3,LSTM,0.005628154859601868,0.004400303363800049,0.0038016581563424085,0.5
