,model,mse,mae,mape,accuracy
0,LinearReg,0.0005659698269769084,0.017420467120516772,0.1842734796207316,0.5030985915492958
1,svr,0.0074727821434972105,0.06769784649055409,0.5274038293759561,0.47774647887323946
2,MLP,0.0006375608716798983,0.018403202549397573,0.14065164928355794,0.5036619718309859
3,LSTM,0.017719869761709715,0.11121768991076583,0.5272693847114145,0.4771830985915493
