,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.040953285339831134,0.030232385648972786,0.01951017363100148,0.4080536912751678,
1,Linear Regression,0.04982328394016919,0.03695713295722146,0.024176549216609052,0.41073825503355704,
2,SVM,0.15890274227114967,0.13837557875374507,0.0778935020647255,0.42885906040268457,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.07946138561117289,0.06430257082563366,0.036934083705797274,0.4154362416107383,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.06524913110104454,0.04922397762772437,0.02867405530114696,0.412751677852349,
