,model,RMSE,MAE,MAPE,DA
0,Linear Regression,48.64180821749288,33.550955249463215,0.009881622238514106,0.468
1,SVM,167.1863513236416,154.24005442079914,0.04124617677205938,0.516
2,MLP,117.42197733924594,95.98463767473265,0.024699278486057987,0.512
3,LSTM,67.80020366303165,51.20456640625,0.014404245977327002,0.472
