,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.02245575934553551,0.01400044202279977,0.12252743898438878,0.46174496644295304,
1,Linear Regression,0.022632483964256433,0.014244331706727592,0.12108694973830329,0.4651006711409396,
2,SVM,0.05001585990068259,0.036107144187601393,0.3496586537031333,0.47114093959731546,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.03751171871176721,0.026176411875687425,0.27382606893214056,0.4704697986577181,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
4,LSTM,0.02712964591478615,0.017468962981504205,0.1338099817849032,0.4604026845637584,
