,model,RMSE,MAE,MAPE,DA
0,Linear Regression,1.7937944181328078,1.1289703218574487,0.38373827670567096,0.516
1,SVM,3.9641327239930537,2.861762491502278,0.6217289827196221,0.528
2,MLP,2.9730855767314233,2.0746773347331127,0.3843506544275517,0.536
3,LSTM,2.1502284556074036,1.3845468738555906,0.46081182566563655,0.5
