,model,RMSE,MAE,MAPE,DA
0,Linear Regression,1.814965455650282,1.244215394921839,0.3542572969032127,0.606
1,SVM,4.838691001868318,3.6171668471181104,0.6514343104293042,0.59
2,MLP,1.8940763382179873,1.3302193666318523,0.34847605816366245,0.606
3,LSTM,2.401290505950717,1.4762890880584714,0.4924609661533647,0.608
