,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.01703442202587359,0.012180576314456704,0.007722949345405288,0.602013422818792,
1,Linear Regression,0.012468636912500433,0.005556083967465692,0.0033940664213136158,0.6221476510067114,
2,SVM,0.07200913133391734,0.059275383205175725,0.0384382085456119,0.5241610738255034,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.07262190715489099,0.057795378500223565,0.032265231339834,0.5832214765100671,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.001}"
4,LSTM,0.827049573084553,0.6185915494485063,0.31839908518778726,0.5496644295302013,
