,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.04369595721041383,0.03227079919478402,0.02016435312107361,0.38791946308724834,
1,Linear Regression,0.05737988355137142,0.04337654039371804,0.02738416229066845,0.3926174496644295,
2,SVM,0.22547044202661967,0.2015211972367358,0.1078239676924944,0.40671140939597317,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.12781115254330377,0.10153619071206568,0.05338504621981787,0.4053691275167785,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.27098051260528233,0.14970062567428283,0.0762713800012508,0.3912751677852349,
