,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.014100246375207357,0.01069050115282372,0.04057356960273343,0.512751677852349,
1,Linear Regression,0.016803800921587276,0.012975936836904293,0.048105309527924606,0.508724832214765,
2,SVM,0.03590381640030199,0.029186128225977846,0.10253131411902691,0.512751677852349,"{'C': 0.1, 'kernel': 'linear'}"
3,MLP,0.02505083280103665,0.020938488747292414,0.07469361239488018,0.5201342281879194,"{'activation': 'tanh', 'hidden_layer_sizes': (1000,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.0159571859327994,0.012368698149308667,0.044907520875508394,0.5107382550335571,
