,model,RMSE,MAE,MAPE,DA
0,Linear Regression,3.195892238425223,2.4159468474680854,0.022241181556234654,0.468
1,SVM,12.558046323360923,11.224143206049591,0.09066685913358682,0.51
2,MLP,7.118708598138379,5.655269821616746,0.04485806024554841,0.506
3,LSTM,15.092824112198961,8.337888259887695,0.06458879750839051,0.464
