,model,mse,mae,mape,accuracy
0,LinearReg,1.5745246021332642,1.0842007291775673,0.12892937939443425,0.48845070422535214
1,svr,11.622875505722895,8.927916655681337,0.5331259647672163,0.49746478873239436
2,MLP,4.1853480461529875,2.699318716789392,0.18377764383331902,0.5002816901408451
3,LSTM,202.45742168285338,102.9843919610344,2.027197011615019,0.49915492957746477
