,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.013908682546990722,0.010541170568114579,0.038557877451937596,0.5120805369127517,
1,Linear Regression,0.01496211901606153,0.011417815215327242,0.04093899735694684,0.5114093959731544,
2,SVM,0.03675799494785902,0.03035599675689612,0.09860487084734698,0.5093959731543625,"{'C': 0.1, 'kernel': 'linear'}"
3,MLP,0.02140519778026171,0.017482509985198635,0.06364586113135928,0.5221476510067115,"{'activation': 'tanh', 'hidden_layer_sizes': (500,), 'learning_rate': 'constant', 'learning_rate_init': 0.001}"
4,LSTM,0.014123862681396074,0.01086568575530452,0.039775026524733845,0.5067114093959731,
