,model,RMSE,MAE,MAPE,DA
0,Linear Regression,0.005224434502023973,0.0039868435536874886,0.0034316362916407676,0.502
1,SVM,0.012835062789212334,0.010599629412772992,0.009049248808288024,0.496
2,MLP,0.007474212288098961,0.006104498183085081,0.0052653923114401565,0.534
3,LSTM,0.004931735349030392,0.0037940540313720753,0.0032709450890509605,0.488
