,model,RMSE,MAE,MAPE,DA
0,Linear Regression,49.08120512439272,33.60811894939959,0.009914027824267748,0.474
1,SVM,180.67870490213386,167.68953576782832,0.044642561757587344,0.52
2,MLP,61.040629019327795,40.35562884448661,0.011845214968892768,0.522
3,LSTM,264.7108636390354,208.28344091796876,0.05117349741687893,0.468
