,model,RMSE,MAE,MAPE,DA,parameters
0,Naive,0.04465306582945793,0.015532138811486273,0.1553283076738483,0.4684563758389262,
1,Linear Regression,0.043227197884482656,0.01559482188504958,0.15050867251152775,0.4704697986577181,
2,SVM,0.05513225962978116,0.032952048287506606,0.275567086100308,0.4785234899328859,"{'C': 1, 'kernel': 'linear'}"
3,MLP,0.04364417787709195,0.022544155292105614,0.2650687799348786,0.4610738255033557,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001}"
4,LSTM,0.1303018852609857,0.036150653717248,0.6395094197734645,0.4677852348993289,
