,model,RMSE,MAE,MAPE,DA
0,Linear Regression,3.5387907463851054,2.691840731604049,0.02470351300183134,0.47
1,SVM,13.02644884780396,11.683635296653208,0.09444785175479427,0.506
2,MLP,6.968133767948663,5.531873181783534,0.043719921609846196,0.494
3,LSTM,9.754273585003993,6.551880432128907,0.051796360878568794,0.474
